round,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,lr,next_lr,bad_rounds,is_best,duration_seconds,participating_clients,processed_examples,optimizer_steps,skipped_optimizer_steps,payload_bytes
14,0.03659477340395784,0.9887560376910286,0.06698608303164516,0.9789129249227413,0.9698073296052369,0.01,0.01,2,False,180.78722524642944,10,37887,2347,25,125518880
15,0.039890613942019294,0.9879378150816903,0.06826800978279635,0.9767315033630249,0.9674180165523479,0.01,0.01,3,False,184.38581085205078,10,37887,2351,21,125518880
16,0.03880351229722683,0.9881753635811756,0.06138411752637446,0.9801854208325759,0.9725495669829012,0.01,0.01,0,True,183.1380774974823,10,37887,2348,24,125518880
17,0.03265178675443844,0.9903660886319846,0.05890212092716153,0.9794582803126705,0.97262697124123,0.01,0.01,0,True,181.4039912223816,10,37887,2350,22,125518880
18,0.03570909157207466,0.9891255575791168,0.06685502249336643,0.9785493546627886,0.9711058084651087,0.01,0.01,1,False,179.80592131614685,10,37887,2348,24,125518880
19,0.036513238777142014,0.9888352205241904,0.06756284196994973,0.9769132884930013,0.9675068358214999,0.01,0.01,2,False,179.67835354804993,10,37887,2349,23,125518880
20,0.03272197921283989,0.989759020244411,0.0654680923011809,0.9798218505726232,0.9720143568188208,0.01,0.01,3,False,179.91969847679138,10,37887,2349,23,125518880
21,0.03156320732094717,0.990656425686911,0.052518907253746284,0.9840029085620796,0.9777251918052559,0.01,0.01,0,True,179.2711958885193,10,37887,2349,23,125518880
22,0.027809084776533828,0.9911315226858817,0.05255865451422561,0.982185057262316,0.9745246290204763,0.01,0.01,1,False,175.02623200416565,10,37887,2352,20,125518880
23,0.029012795684883606,0.9908675799086758,0.04635656901398055,0.9863661152517724,0.97947715327225,0.01,0.01,0,True,184.89517188072205,10,37887,2350,22,125518880
24,0.026701498199040854,0.9917649853511759,0.042064815993212955,0.9852754044719142,0.9786715396028399,0.01,0.01,0,True,184.43236231803894,10,37887,2349,23,125518880
25,0.025874858563271395,0.9921345052392642,0.04603906060340617,0.9845482639520087,0.979391513844514,0.01,0.01,1,False,177.32479739189148,10,37887,2350,22,125518880
26,0.029372370482959143,0.9909467627418376,0.044296027831202796,0.9860025449918197,0.9803614484710603,0.01,0.01,2,False,191.9226324558258,10,37887,2349,23,125518880
27,0.026926209776633087,0.9917913796288964,0.048021915428517414,0.9854571896018905,0.9790991565622259,0.01,0.01,3,False,172.8071427345276,10,37887,2349,23,125518880
28,0.025810431875838317,0.9916858025180141,0.05847251907556331,0.9814579167424105,0.9734411750554439,0.01,0.005,4,False,172.21993327140808,10,37887,2350,22,125518880
29,0.019491239854769114,0.9944308074009555,0.04045907935999715,0.9856389747318669,0.9787204737968456,0.005,0.005,0,True,170.44514179229736,10,37887,2352,20,125518880
